No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ALPRAZOLAM (LYVERIUM)  0.5 MG BLIST X 10 TABS,133.0,2.5,4.8,0.47916666666666663,332.5,638.4
2,BROMINTER(BROMAZEPAN 3 MGS) BLIST X 20 TABS,29.0,2.4,4.8,0.5,69.6,139.2
3,CLONOFAX (CLONAZEPAN 2 MG BLIST X 20 TAB,99.0,2.63,4.8,0.45208333333333334,260.37,475.2
4,EQUILIV 2 MG  BLIST X 10 TABS (CLONAZEPAM),274.0,2.87,5.0,0.426,786.38,1370.0
5,FENOBARBITAL CAJA X 100 BLIST X 10,0.0,8.79,16.0,0.45062500000000005,0.0,0.0
6,LORAZEPAN 2 MG MK BLIST X 10,35.0,2.9,6.0,0.5166666666666667,101.5,210.0
7,PARANTEN (DIAZEPAN 10 MG) BIST X 10 CAJA X 40,89.0,1.38,2.8,0.5071428571428571,122.82,249.2
8,SUBLIMEX (ALPRAZOLAM 0.5) BLIST X 20,46.0,2.8,4.8,0.4166666666666667,128.79999999999998,220.79999999999998
9,,0.0,,,,0.0,0.0
10,,,,,,0.0,0.0
11,,,,,,0.0,0.0
12,,,,,,0.0,0.0
13,,,,,,0.0,0.0
14,,,,,,1801.9699999999998,3302.8
15,,,,,,,1500.8300000000004
16,,,,,,,0.4544114085018773
